"term_key","en","nl","definition","translate"
"product.velnox","Velnox","Velnox","The product name. Configurable at runtime via system_settings.product_name.","no"
"product.foundation","The Velnox Foundation","The Velnox Foundation","Trademark holder. Legal entity name; never translated.","no"
"vendor.proxmox","Proxmox VE","Proxmox VE","Proxmox Virtual Environment. Registered trademark of Proxmox Server Solutions GmbH.","no"
"vendor.pbs","Proxmox Backup Server","Proxmox Backup Server","Backup product. Abbreviated PBS.","no"
"vendor.ceph","Ceph","Ceph","Distributed storage system embedded in Proxmox VE.","no"
"vendor.vmware","VMware","VMware","Trademark of Broadcom Inc.","no"
"vendor.esxi","ESXi","ESXi","VMware bare-metal hypervisor.","no"
"vendor.vcenter","vCenter","vCenter","VMware central management server.","no"
"vendor.hyperv","Hyper-V","Hyper-V","Microsoft hypervisor.","no"
"vendor.entra","Microsoft Entra ID","Microsoft Entra ID","Microsoft identity provider, formerly Azure AD.","no"
"tech.qemu","QEMU","QEMU","Full virtualisation workload type in Proxmox VE.","no"
"tech.lxc","LXC","LXC","Linux container workload type in Proxmox VE.","no"
"tech.upid","UPID","UPID","Proxmox unique process identifier for a background task.","no"
"tech.vhdx","VHDX","VHDX","Hyper-V virtual disk format.","no"
"tech.oidc","OpenID Connect","OpenID Connect","Authentication protocol used for SSO.","no"
"tech.sso","SSO","SSO","Single sign-on.","no"
"tech.rbac","RBAC","RBAC","Role-based access control.","no"
"org.msp","Managed Service Provider","Managed Service Provider","The operator of a Velnox installation. The abbreviation MSP is kept in all languages.","no"
"org.tenant","Tenant","Tenant","An isolated customer organisation within Velnox. Deliberately untranslated: it names a technical boundary, and 'klant' would blur it with the commercial relationship.","no"
"org.root_tenant","MSP root tenant","MSP-hoofdtenant","The single top-level tenant with access to all customer tenants.","yes"
"org.site","Site","Locatie","A physical or logical location belonging to a tenant.","yes"
"org.company","Company","Bedrijf","Customer organisation. Maps to a tenant of kind CUSTOMER.","yes"
"infra.cluster","Cluster","Cluster","A Proxmox VE cluster. A standalone node is modelled as a cluster of one.","no"
"infra.node","Node","Node","A single Proxmox VE host.","no"
"infra.standalone_node","Standalone node","Standalone node","A Proxmox host that is not part of a multi-node cluster.","no"
"infra.workload","Workload","Workload","Collective term for a virtual machine or a container.","no"
"infra.vm","Virtual machine","Virtuele machine","A QEMU/KVM guest.","yes"
"infra.container","Container","Container","An LXC guest.","no"
"infra.storage","Storage","Opslag","A Proxmox storage entry.","yes"
"infra.network","Network","Netwerk","Network configuration of a node.","yes"
"infra.interface","Network interface","Netwerkinterface","A physical or virtual NIC on a node.","yes"
"infra.bridge","Bridge","Bridge","A Linux bridge used by Proxmox networking.","no"
"infra.quorum","Quorum","Quorum","The minimum number of voting nodes required for a cluster to operate.","no"
"infra.uptime","Uptime","Uptime","Time since last boot.","no"
"infra.maintenance_mode","Maintenance mode","Onderhoudsmodus","State in which a node accepts no new workloads.","yes"
"infra.reboot_required","Reboot required","Herstart vereist","A pending change takes effect only after a restart.","yes"
"infra.subscription","Subscription status","Abonnementsstatus","Proxmox subscription level of a node.","yes"
"infra.repository","Repository","Repository","An APT package source.","no"
"infra.kernel","Kernel","Kernel","The running Linux kernel.","no"
"health.health","Health","Gezondheid","Aggregated condition of a resource.","yes"
"health.ok","OK","OK","Everything within expected parameters.","no"
"health.warning","Warning","Waarschuwing","Degraded but operational.","yes"
"health.critical","Critical","Kritiek","Not operational or at imminent risk.","yes"
"health.unknown","Unknown","Onbekend","State could not be determined. Never displayed as OK.","yes"
"health.online","Online","Online","Reachable and responding.","no"
"health.offline","Offline","Offline","Not reachable.","no"
"health.degraded","Degraded","Verminderd","Operating below full redundancy or capacity.","yes"
"auth.user","User","Gebruiker","A person with an account in Velnox.","yes"
"auth.role","Role","Rol","A named bundle of permissions.","yes"
"auth.permission","Permission","Recht","A single capability such as nodes.manage.","yes"
"auth.grant","Grant","Toekenning","A role assigned to a user at a specific scope.","yes"
"auth.scope","Scope","Bereik","The level at which a grant applies: global, tenant, site or cluster.","yes"
"auth.session","Session","Sessie","An authenticated browser session.","yes"
